Product URL,Product Name,Product Price,Product ratings,Product reviews
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1697733956&sprefix=ba%2Caps%2C283&sr=8-1,Your Journey with Our Lightweight High Quality Bag,"₹1,799",,Save up to 79% on SAFARI 
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1697733956&sprefix=ba%2Caps%2C283&sr=8-1,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"₹7,775","56,371",(77% off)
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1697733956&sprefix=ba%2Caps%2C283&sr=8-2,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,"₹6,499",,(79% off)
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1697733956&sprefix=ba%2Caps%2C283&sr=8-2,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps","₹30,335","1,959",Shop SAFARI 
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1697733956&sprefix=ba%2Caps%2C283&sr=8-3,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,"₹1,098",,Shop Artistix 
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1697733956&sprefix=ba%2Caps%2C283&sr=8-3,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips","₹2,300","5,289",
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTMwNDA0NDE5NzQxNjU2OjE2OTc3MzM5NTY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDIyMzA1MzQ2MzA2OjowOjo&url=%2FCOSMUS-Polyester-Multi-functional-Convertible-15-6-Inch%2Fdp%2FB07D1R1K84%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c83ee1b3-3a9c-46f6-9864-ef067d50f7e0%253Aamzn1.sym.c83ee1b3-3a9c-46f6-9864-ef067d50f7e0%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB07D1R1K84%26pd_rd_r%3D249ba9d2-2ea9-4cd6-9ea3-fb028a43cbb6%26pd_rd_w%3DTTy7D%26pd_rd_wg%3DkAmPy%26pf_rd_p%3Dc83ee1b3-3a9c-46f6-9864-ef067d50f7e0%26pf_rd_r%3DN44V99G1K164KZ08H6YM%26qid%3D1697733956%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal",₹689,,& Up
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTMwNDA0NDE5NzQxNjU2OjE2OTc3MzM5NTY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDIyMzA1MzQ2MzA2OjowOjo&url=%2FCOSMUS-Polyester-Multi-functional-Convertible-15-6-Inch%2Fdp%2FB07D1R1K84%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c83ee1b3-3a9c-46f6-9864-ef067d50f7e0%253Aamzn1.sym.c83ee1b3-3a9c-46f6-9864-ef067d50f7e0%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB07D1R1K84%26pd_rd_r%3D249ba9d2-2ea9-4cd6-9ea3-fb028a43cbb6%26pd_rd_w%3DTTy7D%26pd_rd_wg%3DkAmPy%26pf_rd_p%3Dc83ee1b3-3a9c-46f6-9864-ef067d50f7e0%26pf_rd_r%3DN44V99G1K164KZ08H6YM%26qid%3D1697733956%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),₹729,"1,000",& Up
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTMwNDA0NDE5NzQxNjU2OjE2OTc3MzM5NTY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDk3NjEyMjMwNzk4OjoxOjo&url=%2Fuppercase-Backpack-1600EBP1-resistant-sustainable%2Fdp%2FB0B68ZS5G1%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c83ee1b3-3a9c-46f6-9864-ef067d50f7e0%253Aamzn1.sym.c83ee1b3-3a9c-46f6-9864-ef067d50f7e0%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0B68ZS5G1%26pd_rd_r%3D249ba9d2-2ea9-4cd6-9ea3-fb028a43cbb6%26pd_rd_w%3DTTy7D%26pd_rd_wg%3DkAmPy%26pf_rd_p%3Dc83ee1b3-3a9c-46f6-9864-ef067d50f7e0%26pf_rd_r%3DN44V99G1K164KZ08H6YM%26qid%3D1697733956%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹449,,& Up
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTMwNDA0NDE5NzQxNjU2OjE2OTc3MzM5NTY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDk3NjEyMjMwNzk4OjoxOjo&url=%2Fuppercase-Backpack-1600EBP1-resistant-sustainable%2Fdp%2FB0B68ZS5G1%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c83ee1b3-3a9c-46f6-9864-ef067d50f7e0%253Aamzn1.sym.c83ee1b3-3a9c-46f6-9864-ef067d50f7e0%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0B68ZS5G1%26pd_rd_r%3D249ba9d2-2ea9-4cd6-9ea3-fb028a43cbb6%26pd_rd_w%3DTTy7D%26pd_rd_wg%3DkAmPy%26pf_rd_p%3Dc83ee1b3-3a9c-46f6-9864-ef067d50f7e0%26pf_rd_r%3DN44V99G1K164KZ08H6YM%26qid%3D1697733956%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,"₹1,444",255,& Up
